Members for channel#id1068395277
1 - Diamond Creeper  @Pedramaps [ 132687942 ]

2 - Aптı Sραм пσят  @ANTI_spam_NORT [ 208412996 ]

3 - ⚡мøħαммαđ ⚡ ✨ αdмιɴ ✨  @Wolf_craft [ 94270459 ]

4 - Amir Mahdi  @Amirmahdicr7 [ 182807116 ]

5 - Parsa Anti spam nort &👿฿ℓÅcK ℳα﹩K👿&telespeed  @NORT_ADMIN [ 152065669 ]

6 - Arshia Arshia  @WebShark25 [ 98120772 ]

7 - SinaMegapolis  @Sinamegapolis [ 56099001 ]

8 - Nematolla  @Nematolla_Nz [ 128513650 ]

9 - Arminkiller  @ArminkillerF_C [ 152485403 ]

10 -   😅M😊  @Moojang [ 93488365 ]

11 - 👑محمدرضا👑report SHIT  @mohammadreza_mc [ 181936211 ]

12 - Nort Helper Bot  @nort_helper_bot [ 230685687 ]
