[ Thu May  5 22:06:12 2016 ]=>  ✓✖پـٍَــღســـٍَړڜٍـَََ✍ـڑم✖✓ @pesar_sharam_sjde_kon [219015532] kicked for #spam
 
[ Fri May  6 03:20:57 2016 ]=>  َُُِِِّْٺُِـَُُِِِّْاَُُِِِّْیُِـَُُِِِّْپُِـَُُِِِّْږَُُِِِّْہُِـَُُِِِّْاَُُِِِّْڹُِـَُُِِِّْٺُِـَُُِِِّْږَُُِِِّْمَُُِِِّْبُِـَُُِِِّْصُِـَُُِِِّْیُِـَُُِِِّْڪ @ReZa_TypeR_HuNter [112740320] kicked for #spam
 
[ Fri May  6 06:34:13 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ @DARK_FATHER [188033323] kicked for #spam
 
[ Fri May  6 06:35:26 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ @DARK_FATHER [188033323] kicked for #spam
 
[ Fri May  6 06:37:00 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ @DARK_FATHER [188033323] kicked for #spam
 
[ Fri May  6 06:38:45 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ @DARK_FATHER [188033323] kicked for #spam
 
[ Fri May  6 06:38:48 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:38:52 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:38:53 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:38:54 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:38:54 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:38:55 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:38:55 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:38:58 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:38:59 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:39:01 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:39:01 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:39:02 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:39:02 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:39:05 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:39:06 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:39:06 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
[ Fri May  6 06:39:07 2016 ]=>  ಥಥのِٰﾑrِٰkَٖƒَٖﾑَٖTَٖԋَٖεَٖʀಥಥ [188033323] banned user is talking !
 
